Time    S       E       I_NS    I_Sy    I_Sev   I_Crit  R       D      
 7.2083 737.0000 4139.0000 3842.0000 1193.0000  7.0000  3.0000 76.0000  3.0000
 7.2500 735.0000 4114.0000 3848.0000 1204.0000  7.0000  3.0000 86.0000  3.0000
 7.2917 735.0000 4098.0000 3852.0000 1210.0000  8.0000  3.0000 91.0000  3.0000
 7.3333 734.0000 4090.0000 3849.0000 1226.0000  8.0000  3.0000 87.0000  3.0000
 7.3750 733.0000 4053.0000 3854.0000 1241.0000  7.0000  4.0000 105.0000  3.0000
 7.4167 730.0000 4047.0000 3840.0000 1251.0000  7.0000  4.0000 118.0000  3.0000
 7.4583 724.0000 4039.0000 3837.0000 1261.0000  6.0000  4.0000 126.0000  3.0000
 7.5000 717.0000 4028.0000 3835.0000 1274.0000  6.0000  4.0000 133.0000  3.0000
 7.5417 715.0000 4020.0000 3839.0000 1272.0000  6.0000  4.0000 141.0000  3.0000
 7.5833 712.0000 4018.0000 3842.0000 1275.0000  5.0000  3.0000 142.0000  3.0000
 7.6250 711.0000 4008.0000 3837.0000 1291.0000  5.0000  3.0000 142.0000  3.0000
 7.6667 709.0000 4012.0000 3836.0000 1306.0000  5.0000  3.0000 126.0000  3.0000
 7.7083 703.0000 4006.0000 3849.0000 1309.0000  6.0000  3.0000 121.0000  3.0000
 7.7500 702.0000 4017.0000 3841.0000 1313.0000  7.0000  3.0000 114.0000  3.0000
 7.7917 700.0000 4022.0000 3857.0000 1308.0000  7.0000  3.0000 100.0000  3.0000
 7.8333 699.0000 4019.0000 3855.0000 1311.0000  6.0000  3.0000 104.0000  3.0000
 7.8750 695.0000 4012.0000 3859.0000 1316.0000  6.0000  3.0000 106.0000  3.0000
 7.9167 691.0000 4003.0000 3852.0000 1336.0000  6.0000  3.0000 106.0000  3.0000
 7.9583 690.0000 4008.0000 3858.0000 1349.0000  7.0000  3.0000 82.0000  3.0000
 8.0000 689.0000 4008.0000 3840.0000 1363.0000  8.0000  3.0000 86.0000  3.0000
 8.0417 689.0000 3985.0000 3860.0000 1366.0000  9.0000  3.0000 85.0000  3.0000
 8.0833 689.0000 3976.0000 3857.0000 1369.0000 10.0000  3.0000 93.0000  3.0000
 8.1250 688.0000 3974.0000 3860.0000 1374.0000 10.0000  3.0000 88.0000  3.0000
 8.1667 687.0000 3955.0000 3855.0000 1386.0000 10.0000  3.0000 101.0000  3.0000
 8.2083 685.0000 3945.0000 3865.0000 1392.0000 10.0000  3.0000 97.0000  3.0000
 8.2500 684.0000 3926.0000 3874.0000 1396.0000 10.0000  3.0000 104.0000  3.0000
 8.2917 683.0000 3916.0000 3878.0000 1394.0000 11.0000  3.0000 112.0000  3.0000
 8.3333 682.0000 3899.0000 3893.0000 1398.0000 11.0000  3.0000 111.0000  3.0000
 8.3750 679.0000 3885.0000 3895.0000 1407.0000 11.0000  3.0000 117.0000  3.0000
 8.4167 676.0000 3869.0000 3906.0000 1408.0000 11.0000  3.0000 124.0000  3.0000
 8.4583 673.0000 3861.0000 3904.0000 1407.0000 11.0000  3.0000 138.0000  3.0000
 8.5000 665.0000 3854.0000 3908.0000 1410.0000 11.0000  3.0000 146.0000  3.0000
 8.5417 662.0000 3849.0000 3901.0000 1413.0000 11.0000  3.0000 158.0000  3.0000
 8.5833 660.0000 3854.0000 3885.0000 1429.0000 11.0000  3.0000 155.0000  3.0000
 8.6250 657.0000 3845.0000 3888.0000 1430.0000 11.0000  3.0000 163.0000  3.0000
 8.6667 655.0000 3851.0000 3900.0000 1434.0000 11.0000  4.0000 142.0000  3.0000
 8.7083 652.0000 3863.0000 3903.0000 1434.0000 12.0000  4.0000 129.0000  3.0000
 8.7500 650.0000 3881.0000 3890.0000 1431.0000 12.0000  4.0000 129.0000  3.0000
 8.7917 648.0000 3907.0000 3888.0000 1433.0000 12.0000  4.0000 105.0000  3.0000
 8.8333 645.0000 3900.0000 3880.0000 1444.0000 12.0000  4.0000 112.0000  3.0000
 8.8750 643.0000 3899.0000 3871.0000 1452.0000 12.0000  4.0000 116.0000  3.0000
 8.9167 642.0000 3895.0000 3879.0000 1450.0000 14.0000  4.0000 113.0000  3.0000
 8.9583 642.0000 3912.0000 3867.0000 1466.0000 14.0000  4.0000 92.0000  3.0000
 9.0000 642.0000 3904.0000 3872.0000 1467.0000 15.0000  4.0000 93.0000  3.0000
 9.0417 640.0000 3899.0000 3867.0000 1478.0000 17.0000  4.0000 92.0000  3.0000
 9.0833 640.0000 3884.0000 3869.0000 1485.0000 18.0000  4.0000 97.0000  3.0000
 9.1250 640.0000 3871.0000 3865.0000 1499.0000 20.0000  4.0000 98.0000  3.0000
 9.1667 638.0000 3860.0000 3861.0000 1510.0000 20.0000  4.0000 104.0000  3.0000
 9.2083 637.0000 3852.0000 3846.0000 1523.0000 21.0000  4.0000 114.0000  3.0000
 9.2500 637.0000 3853.0000 3831.0000 1532.0000 21.0000  4.0000 119.0000  3.0000
 9.2917 637.0000 3841.0000 3837.0000 1536.0000 21.0000  4.0000 121.0000  3.0000
 9.3333 636.0000 3824.0000 3848.0000 1529.0000 25.0000  4.0000 131.0000  3.0000
 9.3750 635.0000 3805.0000 3854.0000 1534.0000 24.0000  5.0000 140.0000  3.0000
 9.4167 629.0000 3799.0000 3856.0000 1533.0000 24.0000  5.0000 151.0000  3.0000
 9.4583 627.0000 3797.0000 3838.0000 1541.0000 25.0000  5.0000 164.0000  3.0000
 9.5000 620.0000 3778.0000 3850.0000 1542.0000 26.0000  5.0000 176.0000  3.0000
 9.5417 618.0000 3788.0000 3842.0000 1547.0000 28.0000  5.0000 169.0000  3.0000
 9.5833 615.0000 3791.0000 3849.0000 1546.0000 28.0000  5.0000 163.0000  3.0000
 9.6250 613.0000 3789.0000 3839.0000 1549.0000 28.0000  5.0000 174.0000  3.0000
 9.6667 612.0000 3798.0000 3836.0000 1547.0000 31.0000  5.0000 168.0000  3.0000
 9.7083 609.0000 3809.0000 3841.0000 1552.0000 30.0000  5.0000 151.0000  3.0000
 9.7500 607.0000 3825.0000 3837.0000 1550.0000 31.0000  4.0000 143.0000  3.0000
 9.7917 605.0000 3850.0000 3831.0000 1556.0000 31.0000  4.0000 120.0000  3.0000
 9.8333 604.0000 3839.0000 3846.0000 1551.0000 32.0000  4.0000 121.0000  3.0000
 9.8750 604.0000 3848.0000 3845.0000 1560.0000 35.0000  4.0000 101.0000  3.0000
 9.9167 604.0000 3836.0000 3848.0000 1557.0000 34.0000  5.0000 113.0000  3.0000
 9.9583 603.0000 3852.0000 3842.0000 1556.0000 32.0000  7.0000 105.0000  3.0000
10.0000 603.0000 3850.0000 3841.0000 1564.0000 33.0000  7.0000 99.0000  3.0000
10.0417 602.0000 3849.0000 3832.0000 1562.0000 32.0000  8.0000 112.0000  3.0000
10.0833 601.0000 3855.0000 3824.0000 1566.0000 35.0000  8.0000 108.0000  3.0000
10.1250 600.0000 3843.0000 3829.0000 1565.0000 35.0000  8.0000 117.0000  3.0000
10.1667 600.0000 3847.0000 3833.0000 1561.0000 36.0000  8.0000 112.0000  3.0000
10.2083 599.0000 3829.0000 3844.0000 1567.0000 36.0000  8.0000 114.0000  3.0000
10.2500 599.0000 3811.0000 3846.0000 1564.0000 37.0000  9.0000 131.0000  3.0000
10.2917 599.0000 3793.0000 3862.0000 1573.0000 41.0000  9.0000 120.0000  3.0000
10.3333 597.0000 3791.0000 3857.0000 1577.0000 42.0000  9.0000 124.0000  3.0000
10.3750 597.0000 3783.0000 3847.0000 1574.0000 45.0000  9.0000 142.0000  3.0000
10.4167 596.0000 3791.0000 3830.0000 1575.0000 48.0000  9.0000 148.0000  3.0000
10.4583 592.0000 3782.0000 3845.0000 1575.0000 50.0000 10.0000 143.0000  3.0000
10.5000 585.0000 3771.0000 3865.0000 1571.0000 52.0000 10.0000 143.0000  3.0000
10.5417 583.0000 3762.0000 3861.0000 1577.0000 52.0000 11.0000 151.0000  3.0000
10.5833 583.0000 3764.0000 3857.0000 1575.0000 54.0000 11.0000 153.0000  3.0000
10.6250 583.0000 3763.0000 3844.0000 1575.0000 57.0000 11.0000 164.0000  3.0000
10.6667 582.0000 3766.0000 3842.0000 1576.0000 56.0000 11.0000 164.0000  3.0000
10.7083 581.0000 3766.0000 3836.0000 1589.0000 61.0000 11.0000 153.0000  3.0000
10.7500 581.0000 3791.0000 3849.0000 1587.0000 62.0000 11.0000 116.0000  3.0000
10.7917 578.0000 3800.0000 3856.0000 1588.0000 64.0000 11.0000 100.0000  3.0000
10.8333 576.0000 3790.0000 3867.0000 1579.0000 65.0000 11.0000 109.0000  3.0000
10.8750 573.0000 3787.0000 3872.0000 1573.0000 66.0000 11.0000 115.0000  3.0000
10.9167 572.0000 3799.0000 3869.0000 1580.0000 66.0000 11.0000 100.0000  3.0000
10.9583 572.0000 3798.0000 3867.0000 1585.0000 66.0000 11.0000 98.0000  3.0000
11.0000 572.0000 3799.0000 3866.0000 1588.0000 66.0000 12.0000 94.0000  3.0000
11.0417 571.0000 3785.0000 3861.0000 1590.0000 70.0000 12.0000 108.0000  3.0000
