"","distance","seed","kappa","initE","damp_time","damp_lvl"
81,3764.2149873065523,935084432,1.5329735827325655,9.735421909319687e-06,10.0,0.09262751567973307
82,3158.105700664159,148819983,0.5687764013194587,0.00010445913640355766,22.0,0.16538443559678034
83,2542.8353740694197,190358572,1.276614058878913,0.00010635228673771349,12.0,0.11008564438189591
84,4204.574489045065,300727639,0.5635360610854335,4.167343548291172e-05,22.0,0.15894868291588754
85,3787.8445110598177,549287961,0.599746221519037,9.436950483424486e-05,18.0,0.1148440963600818
86,1815.6632034435797,594965759,0.6980499151212096,0.00010062152865066701,16.0,0.17407013770455415
87,3757.7279275667092,933902893,0.5414697098318683,0.00010603875013915231,24.0,0.12662801304038643
88,3997.293212909767,814289664,0.47780819649295536,9.808716375230518e-05,25.0,0.13119266656171544
89,4142.865634958968,687259563,0.44002216901714347,7.38282729278455e-05,27.0,0.24756900017037084
90,2506.0848467067394,591794488,0.9380006868171127,7.550457675895974e-05,15.0,0.09545945048033991
91,1876.550178205283,116524936,1.611661832780244,8.408932561034663e-05,11.0,0.07179490100950399
92,4304.438790533044,327029078,0.4971692454911442,6.713542623204575e-05,25.0,0.12214724433036772
93,3308.967591309607,191684469,0.7245270825106045,5.0770765658454874e-05,20.0,0.16957647035381784
94,3954.207949282001,243501814,0.8699774736700605,7.242469668398619e-05,13.0,0.1554905766275333
95,1919.4858789728692,103042362,1.4771692290352534,7.367225981819508e-05,12.0,0.07799075383240449
96,2932.94805288657,781635874,0.6896963815565955,6.066683603801937e-05,19.0,0.16803362830680768
97,3419.2132911999706,864841174,0.6261877170104079,4.878647982156061e-05,19.0,0.18380339692894768
98,3862.9580980500227,988656775,0.6146812899416877,9.86915147989831e-05,18.0,0.1365893740784493
99,3995.257438584765,761165522,0.6184145044117267,0.000123019740355821,21.0,0.19511781874918738
100,4334.8700641755295,544620610,0.6236982162422977,0.00012861722212380154,20.0,0.16226764516960895
